Player,Country,Games,Win_rate,KDA,Avg_kills,Avg_deaths,Avg_assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg_WPM,Avg_WCPM,Avg_VWPM,GD@15,CSD@15,XPD@15,FB%,FB_Victim,Penta_Kills,Solo_Kills
Aiming,KR,45,64.4%,8.6,6.7,1.4,4.9,10.3,494,75.3%,31,817,1.34,0.4,0.46,0.09,628,15,539,24.4%,2.2%,1,7
Andil,KR,40,52.5%,2.3,0.5,3.5,7.5,1.1,237,73.6%,7,168,3.18,1.69,0.37,0.36,-124,-2,-119,25%,12.5%,0,1
Bdd,KR,44,47.7%,4.4,4.2,2.1,5.1,9.4,431,68.6%,29.5,732,1.23,0.46,0.27,0.21,63,1,13,22.7%,9.1%,1,6
BeryL,KR,44,47.7%,3,1,3.1,8.5,1.7,260,75%,8.8,217,3.3,1.55,0.55,0.49,325,5,256,36.4%,11.4%,0,1
Bulldog,KR,44,47.7%,2.8,2.7,2.4,4,9.7,427,64.3%,27,646,1.34,0.44,0.33,0.2,-137,-3,-55,18.2%,11.4%,1,4
Calix,KR,6,16.7%,2,1.8,2.2,2.5,9.3,387,62%,24.3,558,0.76,0.37,0.14,0.14,-711,-12,-332,16.7%,0%,0,-
Callme,KR,1,0%,1,4,5,1,9.6,457,71.4%,22.3,442,0.71,0.22,0.16,0.1,-286,-16,-734,0%,0%,0,-
Canyon,KR,38,92.1%,6.6,2.7,1.7,8.8,6.9,387,72.8%,19,551,1.56,0.4,0.36,0.28,381,9,468,26.3%,7.9%,0,2
Casting,KR,3,0%,1.4,2.3,3,2,8.2,403,57.9%,27.2,591,1.06,0.54,0.11,0.26,964,4,97,66.7%,0%,0,-
Chovy,KR,38,92.1%,7,4.7,1.4,5.2,10.5,498,61.4%,28.4,842,1.65,0.46,0.46,0.15,532,12,335,5.3%,13.2%,0,5
Clear,KR,41,41.5%,2.5,2.5,2.9,4.8,8.2,386,57.8%,22.3,535,0.98,0.33,0.21,0.15,60,-1,-19,9.8%,7.3%,0,10
Clozer,KR,41,41.5%,4,3.1,2,5,10.1,440,68.5%,28.3,675,1.18,0.47,0.27,0.16,-178,2,107,22%,9.8%,0,5
Cuzz,KR,44,47.7%,3.4,1.8,2.3,6.2,6.9,352,74%,20.4,503,1.89,0.41,0.49,0.26,-58,4,118,27.3%,11.4%,0,1
DDoiV,KR,6,50%,3.2,1.3,2.2,5.7,5.8,319,63%,16.9,384,1.65,0.4,0.45,0.37,-113,-5,-231,33.3%,16.7%,0,-
Deft,KR,44,47.7%,4.4,3.5,2.2,6,8.9,422,72.6%,28.5,712,1.49,0.6,0.34,0.2,181,1,12,36.4%,4.5%,0,2
Delight,KR,41,73.2%,4.3,0.8,2.3,9.1,1.3,260,72.2%,6.6,166,3.5,1.82,0.44,0.47,31,-0,288,29.3%,7.3%,0,1
DnDn,KR,11,27.3%,1.8,1.6,2.9,3.5,8.2,361,50.6%,19.5,420,1.13,0.59,0.15,0.32,-432,-6,-195,18.2%,18.2%,0,2
Doran,KR,41,73.2%,3.3,2.6,2.5,5.7,8.1,398,60.2%,21.6,553,1.07,0.44,0.17,0.22,359,5,167,22%,14.6%,0,13
DuDu,KR,44,47.7%,3,2.5,2,3.6,8.8,399,55.3%,19.1,457,0.9,0.31,0.17,0.15,-124,-0,-100,9.1%,20.5%,0,10
Duro,KR,30,50%,3,0.5,2.9,8.1,1.5,251,67.8%,5.6,132,3.62,1.99,0.43,0.57,-60,4,-43,23.3%,23.3%,0,1
Envyy,KR,29,20.7%,1.9,2.6,3.1,3.3,9.2,395,60.8%,27.1,585,1.01,0.33,0.33,0.13,-282,7,95,31%,6.9%,0,4
Execute,KR,11,18.2%,1.9,0.5,4.4,7.9,1.1,229,73.6%,5.7,139,3.59,2.16,0.39,0.59,-186,-10,-451,0%,36.4%,0,-
FATE,KR,19,21.1%,2.9,2.3,2.3,4.2,9,402,62.9%,28.4,627,1.18,0.42,0.27,0.17,-51,-5,-89,31.6%,0%,1,2
Faker,KR,44,56.8%,3.8,3.1,2.1,5,9.5,433,59.4%,26.6,646,1.16,0.45,0.26,0.13,28,1,-16,18.2%,9.1%,0,11
Fisher,KR,33,36.4%,2.6,3.4,2.9,4.2,9.4,425,65.7%,29.6,690,1.1,0.45,0.24,0.21,-29,-1,-60,18.2%,18.2%,0,4
Frog,KR,19,42.1%,2.5,1.3,2.5,5,7.6,340,56%,17.1,373,0.99,0.39,0.16,0.21,-616,-14,-322,10.5%,15.8%,0,2
GuGer,KR,29,27.6%,1.6,0.6,3.8,5.5,1.8,239,66.4%,7.2,172,3.15,1.67,0.4,0.45,-281,2,-153,20.7%,10.3%,0,-
Gumayusi,KR,44,56.8%,4.8,3.6,1.8,5.2,9.3,441,65.5%,25.7,622,1.51,0.56,0.4,0.18,199,-1,-161,22.7%,6.8%,0,2
Hena,KR,41,41.5%,4.2,3.3,2,5.3,8.9,417,73.3%,24.8,581,1.52,0.62,0.37,0.19,-543,-18,-331,14.6%,7.3%,0,4
Jiwoo,KR,40,32.5%,2.5,2.9,2.8,4.2,8.7,402,69.7%,27.9,651,1.2,0.5,0.29,0.14,-410,-8,-244,25%,12.5%,0,10
Karis,KR,17,17.6%,2.4,2.5,2.7,3.9,9.4,412,63.2%,25.7,577,1.13,0.29,0.31,0.19,-259,-4,-38,23.5%,5.9%,0,3
Kellin,KR,35,60%,3.4,0.6,3,9.7,0.9,247,71.2%,7.2,183,3.64,2.09,0.4,0.5,-83,-9,-281,34.3%,11.4%,0,-
Keria,KR,44,56.8%,4.1,0.7,2.2,8.5,1.9,269,68.8%,8.8,211,3.4,1.87,0.42,0.51,418,8,424,22.7%,9.1%,0,3
